"image_index","snr","ssim"
1,0.929451568510865,0.997985995293225
2,0.720079595309768,0.997719912302961
3,0.448762195206187,0.998237149715754
4,0.110276297077952,0.99598835372382
5,0.411756994406926,0.997307747769555
6,-0.169401809203578,0.994195945029391
7,0.165436793110451,0.996981753040647
8,-0.0170507704080967,0.996230599296057
9,0.0760381859901718,0.996220020024792
10,-0.16392413028242,0.995447162104693
11,0.549459056030215,0.99781730241746
12,-0.0536995697087299,0.995040504381854
13,-0.00426733268894044,0.997127110261106
14,1.3164053869481,0.999096708805691
15,-0.200515128342167,0.991741906979391
16,0.141981825786747,0.996235178780348
17,0.618046020516286,0.998212338911647
18,-0.174394932883166,0.997391647445378
19,0.731715862314777,0.998194753103487
20,0.703929923523731,0.998851434538244
21,0.832374072299406,0.999473871732162
22,0.889378772478599,0.998202129621882
23,-0.0290443675288771,0.996327822424415
24,0.778555703507692,0.998368724016855
25,0.435872563383812,0.998843809428405
26,0.771602259339465,0.999412328109331
27,-0.175758652574988,0.997368686856828
28,0.20142787836582,0.997778850336505
29,-0.0662298010135298,0.995390141155224
30,0.02514120080933,0.996918286689296
31,0.0571232995772636,0.998445068016359
32,1.07582899621468,0.999097522823184
33,0.437651034980236,0.999272476305382
34,1.2145995149341,0.999155641301726
35,0.711499687443802,0.998665383825316
36,0.883012462428771,0.999210809430527
37,0.592397634774505,0.999236645168769
38,0.544449399430668,0.998217114869817
39,0.660963197954737,0.99835689571191
40,0.759451229042338,0.998777793849538
41,0.138030753708863,0.99840788853615
42,0.57983243504401,0.999067427791279
43,1.10981134149372,0.998757466572493
44,0.286449636502285,0.999010467228046
45,0.669192437468959,0.998488484211168
46,0.744838551019533,0.998840754129317
47,0.434449744728898,0.998836568641404
48,0.861047425782792,0.998742739119772
49,0.309885997061487,0.998592239655606
50,0.911015628162719,0.998674615512465
51,-0.0884377936647589,0.99841723292593
52,0.401617208766969,0.998955378599284
53,0.775525272721899,0.998498822079314
54,0.821769848380414,0.998902534066665
55,0.791287885591657,0.998846742053498
56,0.629401664372946,0.998157719972286
57,0.424342408528495,0.999056024195405
58,0.713324095510901,0.998657194434698
59,0.374861143561663,0.99875441996047
60,0.878199289533006,0.999052843732074
